,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
140,Bridesmaids,"Comedy, Romance",tt1478338,125.0,6.8,288383523,169106725,32500000.0,2011-05-13,12.757
141,Kong: Skull Island,"Action, Adventure, Fantasy",tt3731562,118.0,6.6,566652812,168052812,185000000.0,2017-03-08,32.176
142,Gone Girl,"Drama, Mystery, Thriller",tt2267998,149.0,8.1,369330363,167767189,61000000.0,2014-10-01,44.313
143,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",tt5220122,97.0,6.3,528583774,167510016,80000000.0,2018-06-28,19.455
144,Fifty Shades of Grey,"Drama, Romance, Thriller",tt2322441,125.0,4.1,569651467,166167230,40000000.0,2015-02-11,26.32
146,Kung Fu Panda 2,"Animation, Action, Adventure",tt1302011,90.0,7.2,665692281,165249063,150000000.0,2011-05-25,22.464
147,Clash of the Titans,"Action, Adventure, Fantasy",tt0800320,106.0,5.8,493214993,163214888,125000000.0,2010-04-01,26.643
148,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy",tt2279373,92.0,6.0,325186032,162994032,74000000.0,2015-01-28,17.734
149,Django Unchained,"Drama, Western",tt1853728,165.0,8.4,425368238,162805434,100000000.0,2012-12-25,33.986
150,Jason Bourne,"Action, Thriller",tt4196776,123.0,6.6,415484914,162434410,120000000.0,2016-07-27,23.382
151,Grown Ups,Comedy,tt1375670,102.0,6.0,271430189,162001186,80000000.0,2010-06-24,15.678
152,Ice Age: Continental Drift,"Animation, Adventure, Comedy",tt1667889,88.0,6.6,877244782,161321843,95000000.0,2012-06-26,24.736
153,Straight Outta Compton,"Biography, Drama, History",tt1398426,147.0,7.9,201634991,161197785,28000000.0,2015-08-13,19.335
154,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",tt2386490,104.0,7.6,521799505,160799505,129000000.0,2019-01-03,31.954
155,The Heat,"Action, Comedy, Crime",tt2404463,117.0,6.6,229930771,159582188,43000000.0,2013-06-27,17.049
